Scenario,Lifetime_Years,USD_per_100kg
260W Setup,13.64321608040201,3.21907813100127
260W Setup,13.718592964824118,3.213602941176471
260W Setup,13.79396984924623,3.2081875894918324
260W Setup,13.86934673366834,3.2028311003255054
260W Setup,13.944723618090451,3.1975325191501662
260W Setup,14.020100502512562,3.192290911965959
260W Setup,14.095477386934672,3.187105364751637
260W Setup,14.170854271356783,3.181974982933212
260W Setup,14.246231155778894,3.1768988908694786
260W Setup,14.321608040201003,3.1718762313537856
260W Setup,14.396984924623114,3.16690616513145
260W Setup,14.472361809045225,3.161987870432264
260W Setup,14.547738693467336,3.1571205425175246
260W Setup,14.623115577889447,3.1523033932410827
260W Setup,14.698492462311556,3.147535650623886
260W Setup,14.773869346733667,3.142816558441558
260W Setup,14.849246231155778,3.1381453758245335
260W Setup,14.924623115577887,3.1335213768703074
260W Setup,15.0,3.1289438502673796
